what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1392311131060
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392311133912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1392311135232
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311136938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311145615
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392311152041
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1392311158083
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1392311170942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1392311171441
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1392311174483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1392311176134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1392311180068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392311182079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1392311182917
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1392311196687
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1392311200065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311201347
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311202296
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1392311202302
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1392311203465
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1392311203608
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1392311203680
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1392311204948
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1392311206264
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1392311211841
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1392311214803
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311215637
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1392311215685
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392311216386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311219088
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1392311226463
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1392311231938
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1392311235660
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1392311243476
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1392311252822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1392311275835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311280880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311280931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311280953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311281009
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1392311286132
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1392311308351
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311310448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311310501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311310526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311310586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1392311320038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311323359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1392311326058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1392311326541
