what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393520728188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393520729209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393520729790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393520730117
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1393520735509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393520736123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393520736901
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521273622
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1393521285539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1393521287114
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521291867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521312382
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1393521320158
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521320899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521322119
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521323915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521326147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521330510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521344866
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521360235
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521367496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521379365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1393521384691
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521386010
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1393521390918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1393521395564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521396220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521396960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521409986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393521410507
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1393521410965
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521411173
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1393521428011
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1393521428539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1393521430324
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521431011
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521431790
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521444564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393521448599
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521449864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521450326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521455756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521465655
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521713958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521787929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521791943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521795105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521795249
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1393521863085
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1393521863906
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1393521875999
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1393521878547
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521879272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521879551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521886209
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393521888148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521889842
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1393521892173
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521893077
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1393521899075
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1393521922959
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1393521925689
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1393521927560
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1393521928100
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1393521928601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393521929923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521931431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521932243
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521938149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393521946945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521947693
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1393521950208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1393521957863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521958391
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521959003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1393521968342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1393521970962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1393521973464
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.core.jspsource.source",1393521978310
