what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1389026441870
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1389026441900
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1389026442030
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026444030
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026444360
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1389026446360
closed,editor,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1389026446380
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.100.v201101252155,"org.eclipse.jst.ws.jaxws.dom.integration",1389026448990
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1389026449020
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.502.v201105180500,"org.eclipse.jst.j2ee.ejb",1389026449230
started,bundle,org.eclipse.jst.j2ee.jca,1.1.400.v201005270700,"org.eclipse.jst.j2ee.jca",1389026449240
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1389026449280
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1389026449430
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1389026450130
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1389026450520
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1389026457026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026459676
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026464600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389026464680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026465150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026527546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026531068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026534290
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026534370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026536700
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1389026538722
started,bundle,org.eclipse.wst.css.core,1.1.500.v201104191926,"org.eclipse.wst.css.core",1389026538922
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1389026539034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026546626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026547468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389026547528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026548998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026549710
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1389026549720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026552850
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1389026559150
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1389026559200
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1389026559220
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1389026559240
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1389026559370
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1389026559400
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389026559752
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1389026559802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1389026559802
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1389026562242
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1389026562932
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1389026562992
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1389026563082
started,bundle,org.eclipse.wst.css.ui,1.0.600.v201103022054,"org.eclipse.wst.css.ui",1389026563352
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1389026563552
opened,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1389026563782
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1389026564812
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1389026573176
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1389026573216
