what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1395324677871
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1395324678083
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1395324678204
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1395324678298
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1395324678490
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1395324678683
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1395324678928
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1395324678930
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1395324678931
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1395324678933
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1395324679396
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1395324679636
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1395324679769
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1395324679952
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1395324680083
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1395324680391
os,sysinfo,,,"win32",1395324680398
arch,sysinfo,,,"x86",1395324680398
ws,sysinfo,,,"win32",1395324680398
locale,sysinfo,,,"en_IN",1395324680398
processors,sysinfo,,,"2",1395324680398
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1395324680398
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1395324680398
java.specification.name,sysinfo,,,"Java Platform API Specification",1395324680398
java.specification.vendor,sysinfo,,,"Oracle Corporation",1395324680398
java.specification.version,sysinfo,,,"1.7",1395324680398
java.vendor,sysinfo,,,"Oracle Corporation",1395324680398
java.version,sysinfo,,,"1.7.0_51",1395324680398
java.vm.info,sysinfo,,,"mixed mode, sharing",1395324680398
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1395324680398
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1395324680398
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1395324680398
java.vm.specification.version,sysinfo,,,"1.7",1395324680398
java.vm.vendor,sysinfo,,,"Oracle Corporation",1395324680398
java.vm.version,sysinfo,,,"24.51-b03",1395324680398
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1395324684240
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1395324684474
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1395324684626
started,bundle,org.eclipse.wst.dtd.core,1.1.500.v201103300335,"org.eclipse.wst.dtd.core",1395324691527
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1395324691679
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1395324691707
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1395324691741
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1395324691857
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1395324692109
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1395324692141
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1395324692158
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1395324692498
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1395324692720
