what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not publish server configuration for Tomcat v6.0 Server at localhost.",1387009110146
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009110224
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1387009111270
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/online_Doctor). To start this server you will need to remove the duplicate(s).",1387009111535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009113485
opened,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1387009119148
activated,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1387009119272
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1387009119288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1387009131862
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1387009133827
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1387009135356
error,log,,,"Could not publish server configuration for Tomcat v6.0 Server at localhost.",1387009135418
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009135465
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/online_Doctor). To start this server you will need to remove the duplicate(s).",1387009135574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009138960
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1387009143000
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1387009143702
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1387009143718
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1387009143780
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1387009143780
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1387009144155
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1387009145325
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1387009145325
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009145574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009148913
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1387009148944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1387009148944
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1387009150613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009152657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009154045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1387009154045
closed,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1387009154497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009170316
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1387009187023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009187304
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1387009187382
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1387009194043
error,log,,,"Could not publish server configuration for Tomcat v6.0 Server at localhost.",1387009194199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009194246
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/online_Doctor). To start this server you will need to remove the duplicate(s).",1387009194324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009196399
opened,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1387009218957
activated,editor,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.editor",1387009219066
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.open.editor",1387009219097
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1387009233340
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui.ServersView",1387009235305
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.run",1387009236647
error,log,,,"Could not publish server configuration for Tomcat v6.0 Server at localhost.",1387009236725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009236787
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/online_Doctor). To start this server you will need to remove the duplicate(s).",1387009236881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1387009251139
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1387009252590
